pc4,INWONER,GEM_HH_GR,AV5_HORECA,OAD,median_inc,cluster,level_zip
2283,5675.0,1.8,987.8,2980.0,36600.0,3,569
2284,4640.0,1.7,720.8,3493.0,43900.0,2,570
2285,8295.0,2.1,563.7,3161.0,39900.0,2,571
2286,11325.0,2.3,517.5,2613.0,51700.0,1,572
2287,4220.0,1.9,641.9,2953.0,39400.0,1,573
2288,2380.0,2.0,693.2,2039.0,18900.0,1,574
2289,1800.0,2.2,483.3,1465.0,19700.0,3,575
2291,12920.0,2.3,202.5,2237.0,37500.0,2,576
2292,3035.0,2.9,103.69999999999999,2077.0,42800.0,3,577
2295,3845.0,2.4,116.70000000000002,580.0,25300.0,1,578
2311,11160.0,1.4,480.2,5296.0,27300.0,2,579
2312,14405.0,1.4,471.2,5446.0,37100.0,2,580
2313,12550.0,2.1,483.09999999999997,3983.0,51700.0,3,581
2314,6250.0,2.2,440.5,2692.0,24000.0,1,582
2315,8755.0,1.9,457.7,4446.0,20300.0,3,583
2316,10415.0,1.8,467.90000000000003,4492.0,38115.6746031746,2,584
2317,10930.0,2.2,426.4,2525.0,26800.0,1,585
2318,3355.0,2.5,412.9,2031.0,39800.0,1,586
2321,10315.0,1.7,481.1,3640.0,29400.0,1,587
2322,200.0,1.4,448.5,551.0,15900.0,3,588
2323,145.0,2.1,412.6,1227.0,36800.0,2,589
2324,9850.0,1.7,462.9,3273.0,48600.0,1,590
2331,10965.0,2.3,461.2,2146.0,51500.0,1,591
2332,10285.0,1.9,450.9,2930.0,42400.0,3,592
2333,2820.0,1.5,469.8,2126.0,48300.0,3,593
2334,2495.0,1.9,469.9,2025.0,34700.0,2,594
2341,9850.0,2.2,396.69999999999993,1835.0,40700.0,3,595
2342,3110.0,2.6,401.8,1110.0,41700.0,1,596
2343,11465.0,2.2,308.29999999999995,1802.0,40100.0,1,597
2351,5255.0,2.5,396.6,1586.0,38115.6746031746,1,598
2352,8475.0,2.0,428.79999999999995,3181.0,39900.0,3,599
2353,13380.0,2.2,394.20000000000005,2183.0,44400.0,2,600
2355,1710.0,2.3,26.5,202.0,39800.0,3,601
2361,4585.0,2.2,154.60000000000002,744.0,44400.0,3,602
2362,175.0,2.0,47.5,70.0,43300.0,3,603
2371,8265.0,2.3,27.400000000000002,915.0,42700.0,2,604
2374,720.0,2.5,41.3,178.0,44400.0,1,605
2375,1660.0,2.4,19.299999999999997,216.0,43700.0,2,606
2376,665.0,2.4,26.799999999999997,355.0,37700.0,1,607
2377,3835.0,2.4,29.3,808.0,41500.0,1,608
2381,5525.0,2.3,148.3,537.0,39600.0,1,609
2382,2850.0,2.4,390.1,1093.0,34300.0,2,610
2391,5905.0,2.4,14.5,478.0,38200.0,1,611
2394,5435.0,2.3,31.7,827.0,28900.0,1,612
2396,4110.0,2.3,19.0,809.0,37700.0,3,613
2401,9330.0,2.3,134.10000000000002,1939.0,39000.0,2,614
2402,13625.0,2.1,133.0,3038.0,44900.0,3,615
2403,10195.0,2.3,129.0,2186.0,49700.0,1,616
2404,4675.0,1.9,133.39999999999998,2023.0,38115.6746031746,2,617
2405,8015.0,2.1,131.5,2807.0,41100.0,3,618
2406,9055.0,2.1,130.5,2527.0,48500.0,3,619
2407,835.0,2.4,98.30000000000001,236.0,45100.0,1,620
2408,17135.0,2.6,107.6,1973.0,43300.0,3,621
2409,45.0,2.4,100.1,101.0,43200.0,2,622
2411,17460.0,2.4,47.099999999999994,1556.0,38115.6746031746,1,623
2412,1175.0,2.8,46.9,905.0,43400.0,2,624
2415,1735.0,2.5,20.4,193.0,46700.0,1,625
2421,9420.0,2.4,26.4,780.0,44000.0,3,626
2431,1665.0,2.3,20.5,195.0,40800.0,3,627
2432,170.0,2.5,6.1,68.0,41800.0,1,628
2435,2955.0,2.3,14.599999999999998,214.0,46000.0,3,629
2441,4165.0,2.5,14.5,380.0,41100.0,3,630
2445,1200.0,2.3,30.7,102.0,44200.0,2,631
2451,4595.0,2.3,21.5,542.0,54400.0,3,632
2461,9320.0,2.4,19.0,448.0,50100.0,1,633
2465,1230.0,2.3,23.800000000000004,163.0,52900.0,1,634
2471,1860.0,2.3,43.7,218.0,38115.6746031746,2,635
2481,3695.0,2.4,20.700000000000003,469.0,46900.0,2,636
2491,270.0,2.6,257.3,1261.0,44800.0,2,637
2492,12675.0,2.7,129.3,1464.0,56700.0,3,638
2493,8255.0,3.0,118.1,1457.0,27600.0,3,639
2495,170.0,2.1,768.5,1284.0,22500.0,3,640
2496,11060.0,2.6,238.0,1756.0,26800.0,3,641
2497,10410.0,2.6,423.8,1679.0,33900.0,2,642
2498,5850.0,3.1,307.1,1085.0,21900.0,1,643
2511,4595.0,1.6,1639.9,6613.0,20300.0,3,644
