Daalder,1
Eet cafe Sonneveld,1
Restaurant Satatouille,2
Café Proust,2
HINATA(YAMA RAMEN),1
The Good Companion,1
La Trattoria Di Donna Sofia,1
Cinema Paradiso,1
Café Restaurant De Reiger,1
Tijger & de Vis,2
Palm Springs,1
Restaurant Pizzeria Capri,1
La Perla,1
Tapas Cafe Duende,1
Café Wester,1
Caffe Il Momento,1
La Oliva Pintxos y Vinos,1
Restaurant Vlaming,2
't Smalle,3
Barkitchen Tuin10,2
Bordewijk,2
Assaggio,2
Bleu,1
Som Tam Thai,1
Restaurant Noordwest,2
Jo-Sushi,1
Café De Blouwe Pan,1
Salvatorica,1
Moods Coffee Corner,1
Eetcafe Semhar,1
Café P96,1
Chok Dee Thai Restaurant,1
Songkran,1
Het Monumentje,1
Prego,2
Café De Klepel,1
Japanese Pancake World,1
De Twee Zwaantjes,1
Tasca Bellota,2
Gs jordaan,2
Tanoshii Sushi,1
Boca's,1
Libertine Petit Café,1
Manger Maintenant,2
Café de Parel,1
Café De Prins,1
De twee Grieken,1
Café De Nieuwe Lelie,1
Casa Juan,2
Eetcafé Koevoet,1
Swieti Sranang,1
Al Ninèn,2
Caramba,1
Burger's Patio,2
Kam Wah,1
De Luwte,1
Salad Box Amsterdam,2
Kagetsu Hartenstraat,1
Proeflokaal Arendsnest,1
Winkel 43,1
Toscanini,1
De Blaffende Vis,1
The Pancake Bakery,1
Restaurant Dwars,2
De Curtis,2
Vennington,1
Il Fiore,1
Tazzina,1
Afhaalcentrum Terang Boelan,1
Wijnbar diVino,1
Café Lowietje,1
Ristorante Pizzeria 'La Vita',1
Restaurant Max,1
Café de Tuin,1
Reypenaer Proeflokaal,1
J.D. William's Whisky Bar,1
Cafe Struik,2
Restaurant Long Pura,1
Il Panorama,1
Eethuis Sevil Ali Baba,1
Goodies Food & Drinks,1
Akitsu,1
Rapha Amsterdam,1
Broodjeszaak \''t Kuyltje\',1
De Mattos Cinco,2
Lunchcafé Dialoog,1
Moeders,1
Pazzi Italian Slow Food,1
PARRA Restaurant,2
Foodware,1
Van Wonderen Frieten,2
Balthazar's Keuken,1
Café \'De Eland\',1
Dapur Kita,2
Ellis Gourmet Burger,3
Rositas,1
Bussia,1
Restaurant Sinck,2
Brandstof B.V.,1
Indian Restaurant Amsterdam Purna,2
Bromo Indah,1
Nooch,1
Sefa,1
Cafe George,1
The Original California Burrito Company Amsterdam,1
Penelope’s,2
BR020,1
Café \'Wheels\',2
Donnies,2
Clone 42,2
Thai Fusion,1
Cafe donnee,2
Envy,1
bar Oldenhof,1
Billy's Thai Restaurant,1
Restaurant Jansz.,1
Het Stuivertje is gesloten vanwege verbouwing tot 1 februari 2019,2
Cafe 't Molentje,1
Amigo Rozengracht,1
Ristorante Pizzeria La Festa,1
Mendoza Restaurant,1
Cafe De Pels,1
Café De Koe,1
Restaurant Divan‎,1
Welcome To Italy,1
Chocolaterie Pompadour,1
Café Kalkhoven,1
Café Nielsen,2
The Lebanese Sajeria,1
Café Pieper,1
Venus & Adonis,1
Hartbiet Cafe,1
29 Spices,1
Proeflokaal A. van Wees,1
Cloud Gallery,1
Restaurant Palladio,1
Koffiehuis 'De Hoek',1
Pluk,1
V.O.F. Café Chaos,1
Tuk Tuk Thai,1
Casa Peru,1
Warie's Thai Food,1
Café Van Puffelen,1
Men Impossible,1
Kessens,1
The Conscious Club,1
Sandwich Shop Velida's,2
BBROOD,1
Amigo Grill Restaurant,1
Café de Doffer,1
Pasta Panini,2
Taste & Flavour Jordaan,2
Bluespoon Restaurant & Bar,3
Polaberry,1
Cibo & Vino,1
Coffeeshop La Tertulia,1
Grillroom Shoarma \'Hilal\',1
Pesca,1
Eetcafe De Jordaan,2
Het Zwaantje,1
Raïnaraï,1
Pancake House,1
Café Restaurant Het Molenpad,1
Café Saarein,1
Bar 22,2
Restaurant Vinkeles,1
Kaldi Amsterdam Herengracht,1
Café Chris,1
Pancakes Amsterdam,1
Breda,1
Pulitzer's Bar,1
Cook Kai,1
Toos & Roos,2
Rosie's,2
IJscuypje en Barts,1
Restaurant ACE,1
Haar Barbaar,1
Pizzeria Lagonda V.O.F.,2
Chin Chin Club,1
De Struisvogel,1
Eetcafe Singel 404,1
Quattro Gatti,1
Café de Oude Wester,1
Cafe Rooie Nelis,2
Rakang,1
Chez Lorraine,1
Gs Brunch Boat,1
Café Brakke,1
Mazzo,2
Tin Pan Alley,2
Bar Parry,1
BurgerHouse,1
Pause at Pulitzer,1
Vyne,2
De Uitvreter,2
Burgermeester,1
Libertine Comptoir de Cuisine,2
Libertine,2
Koffiespot,1
Ciao Bella Amsterdam,1
Kitchen & Bar Van Rijn B.V.,1
Kop Van Jut Eetcafe - restaurant,1
Coffee Salon,1
Thai Phutakun,1
Ristorante Pizzeria La Traviata,1
De Leidse Bocht B.V.,1
Isola Bella,1
Ristorante Il Primo,1
Lunchroom Amarylles,1
Restaurant Dinámico (Latino),2
The School Of Life Amsterdam,1
Flying Dutchmen Cocktails,1
Saint Andre Restaurant,1
Davvero,2
Tokyo Ramen Iki,1
Café Mulder,1
Café \'Los\',1
Cafe Cox,2
Nacional Amsterdam,2
Restaurant Kukeleku,1
Ter Marsch & Co - Amsterdam,1
Japan Inn Yakitori,2
Incanto,1
Rose's Cantina,2
De Bazel,1
Queers Café,2
Café Eijlders,1
Dan Murphy's Irish bar,1
O' Sole Mio,1
El Torado Grill,1
tasty burger,2
Baibua,1
al Bàcaro,1
Van Leeuwen,1
Take Thai,1
Meat & Greek,1
Taproom,1
Restaurant Shiva,1
Dinner on the Amstel,1
Coco's Corner Shop,1
Lunchcafe Klaver 4,2
Restaurant Hosokawa,1
Dana Halal Food,1
Segugio,1
Krua Thai-Tom Yam,2
Topkapi,1
Under the Stork,1
Vault Bar,1
Café Reynders,1
Pancake King,1
Indrapura,1
PPS Restaurant B.V.,2
Restaurant \'Zorba De Griek\',1
Burger King,3
MINA,3
Bar-B Burgers ‘n’ Beer,1
Istanbul Plaza,1
BURRATA,1
Mayur Indian/Indiaas Restaurant,1
Café Lux B.V.,1
Palladium,1
Van Soest Amsterdam,1
Downtown,1
Tapas & crazy coctail bar,2
Cafe Brecht,1
Café Monico,3
Back to Black coffee bar and roastery,1
tomo sushi,1
Garlic Queen,1
Le Rendez-vous,2
Litedark,2
Harmsen,1
Ku,1
Na Siam,1
Broodje Art,1
Lo Stivale d'Oro,1
The Flying Dachman,2
Sale e Pepe,2
Tempo Doeloe,1
Alfonso,1
Sumo,1
Ô MAI Vietnamees Restaurant,1
BurlesQue,2
Bar \'Saloon\',1
Cora broodjes & delicatessen,1
Café Entre Nous,2
MOTO MOTO,2
La Favela,2
PAZ Open Fire Cooking,1
Bar Feijoa,1
De Smoeshaan,1
Leonardo's,1
Bar Dó Amsterdam,1
Saigon Caphe Leidseplein,2
Pancake Corner,1
FEBO,1
Café Restaurant P.King,1
Tasty Asia,1
Akbar Indian Restaurant,1
Grillroom Baba,1
Home | Lunchcafé Studio 2,1
de Oesterbar,2
Mr Tongs,2
SUSHISAMBA Amsterdam,3
bubbles Amsterdam,1
Café Américain,1
Porto Carrara,1
Vapiano Amsterdam,1
La Mancha,2
Proeflokaal Jopen Amsterdam,2
38 Burgers & Taco's,2
George Deli U.S.A.,2
Verona,1
Duke of Tokyo,1
Sumo,1
Genroku,1
De Maria,1
Brug34,1
Casa di David,1
Rancho Argentina,1
Senses by Lard Bertelsen,1
Asian Kitchen,1
Tujuh Maret,1
Golden Temple,1
Cafe de Huyschkamer,1
Levant,1
Café Bouwman,1
The Pantry,1
SHABU Sushi and Grill,2
SNAPPERS,2
Zushi,1
Bollywood Indian Restaurant,1
Easy Times Coffeeshop,1
Van Vlaanderen,2
El Vino,1
Stoop & Stoop eetcafé,1
GIN NEO,2
cooldown Cafe,1
Café Slijterij Oosterling,1
American grill restaurant & cafe,1
Cineac Restaurant / Club,1
Pho King,1
Bar Broker,2
Pancake Bar,1
Pizza Pino Amsterdam,1
The Copper Kettle,2
Chef India,2
Thai Corner,1
Ron Gastrobar Paris,2
Bakery Cafe/Ristorante Pizzeria,1
Cosy by Mandy,1
Aran Irish Pub,1
Royal Thai - Best Thai Restaurant Amsterdam,1
Norling,1
Barlaeus Gymnasium,1
Café de Wetering,1
