pc4,labels
6039,0
6041,0
6042,0
6043,0
6044,0
6045,0
6049,1
6051,0
6061,0
6063,0
6065,1
6067,0
6071,0
6074,1
6075,1
6077,1
6081,1
6082,1
6083,1
6085,1
6086,0
6088,1
6089,1
6091,1
6092,0
6093,1
6095,0
6096,1
6097,1
6099,0
6101,0
6102,0
6104,0
6105,0
6107,1
6109,1
6111,1
6112,1
6114,0
6116,0
6118,1
6121,1
6122,0
6123,0
6124,0
6125,1
6127,0
6129,1
6131,0
6132,0
6133,0
6134,0
6135,0
6136,0
6137,0
6141,1
6142,1
6143,1
6151,1
6153,1
6155,0
6161,0
6162,0
6163,0
6164,1
6165,0
6166,1
6167,1
6171,0
6174,0
6176,1
6181,1
6191,0
6199,0
6211,0
6212,0
6213,0
6214,0
6215,0
6216,0
6217,0
6218,0
6219,0
6221,0
6222,0
6223,0
6224,0
6225,0
6226,0
6227,1
6228,1
6229,0
6231,0
6235,1
6237,1
6241,1
6243,1
6245,0
6247,1
6251,1
6252,0
6255,1
6261,1
6262,1
6265,1
6267,1
6268,0
6269,1
6271,1
6273,1
6274,0
6276,0
6277,1
6278,0
6281,0
6285,0
6286,0
6287,1
6289,0
6291,0
6294,0
6295,0
6301,0
6305,1
6307,1
6311,1
6312,1
6321,1
6325,1
6333,1
6336,1
6341,1
6342,1
6343,1
6351,0
6353,1
6361,0
6363,1
6365,1
6367,0
6369,0
6371,0
6372,0
6373,0
6374,0
6411,0
6412,0
6413,0
6414,0
6415,0
6416,0
6417,0
6418,0
6419,1
6421,1
6422,1
6431,0
6432,0
6433,0
6436,0
6438,0
6439,1
6441,0
6442,0
6443,0
6444,0
6445,1
6446,0
6447,0
6451,0
6454,0
6456,1
6461,0
6462,0
6463,0
6464,0
6465,0
6466,0
6467,0
6468,1
6469,0
6471,0
6511,0
6512,0
6515,1
6521,0
6522,0
6523,0
6524,0
6525,0
6531,0
6532,0
6533,0
6534,0
6535,0
6536,0
6537,0
6538,0
6541,0
6542,0
6543,0
6544,0
6545,1
6546,0
6551,1
6561,0
6562,0
6564,1
6566,1
6571,0
6572,1
6573,1
6574,1
6575,1
6576,1
6577,1
6578,1
6579,1
6581,0
6582,1
6584,1
6585,0
6586,1
6587,1
6591,0
6595,1
6596,1
6598,1
6599,1
6601,0
6602,1
6603,1
6604,0
6605,0
6606,0
6611,1
6612,1
6613,1
6615,0
6616,1
6617,1
6621,1
6624,1
6626,1
6627,0
6628,1
6629,1
6631,0
6634,1
6641,0
6642,1
6644,1
6645,1
6651,0
6652,1
6653,1
6654,1
6655,1
6657,1
6658,1
6659,1
6661,0
6662,0
6663,0
6665,1
6666,1
6668,1
6669,1
6671,1
6672,0
6673,1
6674,1
6675,1
6676,0
6677,1
6678,1
6681,0
6684,1
6685,1
6686,1
6687,1
6691,1
6701,0
6702,0
6703,0
6704,1
6705,1
6706,0
6707,0
6708,0
6709,0
6711,0
6712,0
6713,0
6714,0
6715,1
6716,1
6717,0
6718,1
6721,0
6731,1
6732,1
6733,1
6741,0
6744,1
6745,1
6811,0
6812,0
6813,0
6814,0
6815,1
6816,0
6821,0
6822,0
6823,0
6824,0
6825,0
6826,0
6827,0
6828,0
6831,0
6832,0
6833,0
6834,0
6835,0
6836,0
6841,0
6842,1
6843,0
6844,0
6845,1
6846,0
6851,0
6852,0
6861,1
6862,1
6865,1
6866,1
6869,0
6871,0
6874,1
6877,0
6881,1
6882,0
6883,1
6891,1
6901,1
6902,1
6903,0
6904,0
6905,1
6909,1
6911,1
6913,1
6914,1
6915,1
6916,1
6917,0
6921,0
6922,1
6923,1
6924,1
6931,0
6932,0
6941,1
6942,0
6951,0
6952,1
6953,1
6955,0
6956,1
6957,1
6961,0
6964,1
6971,1
6974,1
6975,1
6981,0
6982,0
6983,0
6984,1
6986,1
6987,1
6988,1
6991,0
6994,1
6996,1
6997,1
6998,1
6999,1
7001,1
7002,0
7003,1
7004,0
7005,0
7006,0
7007,1
7008,1
7009,0
7011,1
7021,1
7025,1
7031,1
7035,1
7036,0
7037,1
7038,1
7039,1
7041,0
7044,0
7045,1
7046,1
7047,1
7048,1
7051,1
7054,1
7055,1
7061,1
7064,1
7065,1
7071,0
7075,1
7076,1
7077,1
7078,1
7081,0
7083,1
7084,1
7091,1
7095,1
7101,0
7102,1
7103,0
7104,1
7105,1
7106,1
7107,1
7108,1
7109,0
7113,1
7115,0
7119,0
7121,1
7122,1
7123,0
7126,1
7131,0
7132,1
7134,1
7135,1
7136,0
7137,1
7141,0
7142,1
7151,1
7152,0
7156,1
7157,1
7161,0
7165,1
7201,0
7202,0
7203,1
7204,0
7205,1
7206,1
7207,1
7211,1
7213,1
7214,1
7215,1
7216,1
7217,1
7218,1
7221,1
7223,0
7224,1
7225,1
7226,1
7227,1
7231,1
7232,1
7233,1
7234,1
7241,1
7242,0
7244,1
7245,1
7251,1
7255,1
7256,1
7261,1
7263,1
7271,1
7273,1
7274,1
7275,1
7311,0
7312,0
7313,1
7314,1
7315,1
7316,1
7317,1
7321,1
7322,0
7323,0
7324,1
7325,0
7326,0
7327,0
7328,0
7329,1
7331,0
7332,1
7333,1
7334,1
7335,1
7336,0
7339,1
7341,1
7345,0
7346,1
7348,1
7351,1
7352,1
7361,0
7364,1
7371,0
7381,1
7382,1
7383,1
7384,1
7391,1
7392,1
7395,1
7396,1
7397,1
7399,1
7411,0
7412,0
7413,0
7414,0
7415,0
7416,0
7417,0
7418,1
7419,1
7421,1
7422,0
7423,0
7424,1
7425,1
7426,1
7427,1
7428,1
7429,1
7431,1
7433,1
7434,1
7435,1
7437,1
7439,1
7441,1
7442,0
7443,1
7447,1
7448,1
7451,1
7461,1
7462,0
7463,1
7466,1
7467,1
7468,1
7471,0
7472,1
7475,1
7478,1
7481,0
7482,0
7483,1
7491,0
7495,1
7496,1
7497,1
7511,0
7512,0
7513,0
7514,0
7521,1
7522,0
7523,0
7524,1
7525,1
7531,0
7532,0
7533,0
7534,0
7535,0
7536,1
7541,0
7542,0
7543,0
7544,0
7545,0
7546,0
7547,0
7548,1
7551,0
7552,0
7553,0
7554,0
7555,1
7556,0
7557,0
7558,0
7559,0
