pc4,labels
5062,0
5063,0
5066,0
5071,1
5074,0
5076,1
5081,0
5084,0
5085,0
5087,0
5089,0
5091,0
5094,0
5095,0
5096,0
5101,1
5102,1
5103,0
5104,1
5105,0
5106,0
5107,1
5109,1
5111,1
5113,1
5114,1
5121,1
5122,0
5124,1
5125,0
5126,1
5131,1
5133,0
5141,1
5142,1
5143,1
5144,1
5145,1
5146,0
5151,1
5152,0
5154,0
5156,1
5157,0
5158,1
5161,0
5165,1
5171,0
5172,1
5175,0
5176,1
5211,0
5212,1
5213,0
5215,1
5216,0
5221,1
5222,0
5223,0
5224,0
5231,0
5232,1
5233,0
5234,0
5235,0
5236,0
5237,0
5241,1
5242,0
5243,1
5244,0
5245,0
5246,0
5247,0
5248,1
5249,0
5251,0
5252,1
5253,1
5254,1
5255,1
5256,0
5257,1
5258,0
5261,1
5262,0
5263,0
5264,1
5266,1
5268,1
5271,0
5272,0
5275,1
5281,1
5282,1
5283,0
5291,1
5292,1
5293,0
5294,1
5296,1
5298,1
5301,1
5302,0
5305,0
5306,0
5307,0
5308,0
5311,0
5313,0
5314,0
5315,0
5316,0
5317,0
5318,1
5321,1
5324,1
5325,0
5327,0
5328,1
5331,1
5333,1
5334,1
5335,1
5341,1
5342,0
5343,0
5344,0
5345,0
5346,0
5347,0
5348,0
5349,0
5351,0
5352,1
5353,1
5354,1
5355,1
5356,0
5357,0
5358,1
5359,1
5361,0
5363,1
5364,1
5366,0
5367,1
5368,0
5371,1
5373,0
5374,1
5375,0
5381,1
5382,0
5383,0
5384,0
5386,1
5388,0
5391,1
5392,0
5394,1
5395,1
5396,1
5397,1
5398,1
5401,0
5402,0
5403,0
5404,1
5405,1
5406,0
5408,1
5409,1
5411,0
5421,0
5422,0
5423,1
5424,1
5425,1
5427,0
5428,0
5431,0
5432,0
5433,1
5434,1
5435,1
5437,0
5438,1
5439,1
5441,1
5443,1
5445,1
5446,1
5447,0
5449,1
5451,0
5453,1
5454,0
5455,1
5461,1
5462,0
5463,0
5464,0
5465,0
5466,0
5467,0
5469,1
5471,1
5472,0
5473,1
5476,1
5481,0
5482,1
5491,0
5492,1
5501,1
5502,0
5503,0
5504,1
5505,0
5506,1
5507,0
5508,0
5509,0
5511,0
5512,1
5513,0
5521,0
5524,1
5525,0
5527,1
5528,1
5529,1
5531,1
5534,1
5541,1
5551,0
5552,0
5553,1
5554,1
5555,1
5556,0
5561,1
5563,0
5571,0
5575,0
5581,0
5582,0
5583,1
5591,0
5595,1
5611,0
5612,1
5613,0
5614,0
5615,0
5616,0
5617,0
5621,0
5622,0
5623,0
5624,0
5625,0
5626,1
5627,0
5628,0
5629,0
5631,0
5632,0
5633,1
5641,0
5642,0
5643,0
5644,0
5645,0
5646,1
5647,1
5651,0
5652,0
5653,0
5654,0
5655,0
5656,0
5657,1
5658,0
5661,1
5662,1
5663,1
5664,1
5665,0
5666,0
5667,0
5671,1
5672,1
5673,1
5674,0
5681,1
5682,0
5683,1
5684,0
5685,0
5688,0
5689,0
5691,0
5692,0
5694,0
5701,0
5702,0
5703,0
5704,0
5705,0
5706,0
5707,0
5708,0
5709,0
5711,0
5712,0
5715,1
5721,0
5724,0
5725,1
5731,1
5735,0
5737,1
5738,1
5741,0
5751,1
5752,1
5753,1
5754,0
5756,1
5757,1
5758,1
5759,1
5761,0
5763,1
5764,1
5766,1
