,pc4,INWONER,MAN,VROUW,INW_014,INW_1524,INW_2544,INW_4564,INW_65PL,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,AANTAL_HH,TOTHH_EENP,TOTHH_MPZK,HH_EENOUD,HH_TWEEOUD,GEM_HH_GR,UITKMINAOW,OAD,P_LINK_HH,P_HINK_HH,AFS_CAFE,AV1_CAFE,AV3_CAFE,AV5_CAFE,AFS_CAFTAR,AV1_CAFTAR,AV3_CAFTAR,AV5_CAFTAR,AFS_HOTEL,AV5_HOTEL,AV10_HOTEL,AV20_HOTEL,AFS_RESTAU,AV1_RESTAU,AV3_RESTAU,AV5_RESTAU,median_inc
134,1272.0,6275.0,3010.0,3265.0,1085.0,715.0,860.0,1900.0,1710.0,80.0,10.0,10.0,2520.0,650.0,870.0,150.0,840.0,2.5,210.0,1092.0,21.9,47.5,1.3,0.3,2.0,8.8,0.9,2.6,18.3,42.9,2.4,5.4,13.0,35.6,0.9,3.9,27.1,73.3,35000.0
135,1273.0,8790.0,4265.0,4525.0,1265.0,835.0,1825.0,2565.0,2300.0,80.0,10.0,10.0,4120.0,1455.0,1370.0,330.0,955.0,2.1,715.0,2365.0,37.7,17.7,1.1,0.4,2.0,2.0,0.6,3.2,21.9,27.5,1.8,4.0,8.5,31.6,0.6,4.4,34.8,44.9,35000.0
136,1274.0,6625.0,3315.0,3305.0,1035.0,750.0,1680.0,2300.0,855.0,80.0,10.0,10.0,3100.0,1180.0,830.0,290.0,790.0,2.1,695.0,2284.0,41.8,20.1,1.2,0.3,1.2,2.0,0.8,2.7,14.7,26.1,2.7,3.7,7.1,30.0,0.8,2.1,22.9,42.5,50800.0
137,1275.0,2045.0,985.0,1060.0,275.0,245.0,380.0,675.0,470.0,80.0,10.0,10.0,940.0,330.0,285.0,85.0,235.0,2.1,215.0,2551.0,40.1,18.3,0.8,0.8,1.9,2.0,0.5,7.1,20.9,27.0,3.1,4.0,7.9,34.0,0.4,6.1,31.8,46.7,41221.85187671076
138,1276.0,7485.0,3580.0,3905.0,1190.0,905.0,1540.0,1930.0,1925.0,80.0,10.0,10.0,3180.0,1135.0,900.0,235.0,900.0,2.2,555.0,2417.0,39.5,18.1,1.3,0.1,2.0,2.2,0.6,2.3,23.3,28.9,2.7,4.0,9.1,33.1,0.8,3.4,35.6,50.1,39600.0
139,1277.0,2130.0,1050.0,1080.0,340.0,255.0,320.0,790.0,425.0,80.0,10.0,10.0,875.0,210.0,310.0,55.0,300.0,2.4,110.0,1571.0,23.3,38.2,1.9,0.0,1.0,2.0,1.4,0.3,10.7,25.9,3.3,3.9,7.0,29.8,1.4,0.3,15.7,43.5,39500.0
140,1309.0,35.0,15.0,20.0,0.0,247.27297826341095,0.0,20.0,10.0,90.0,5.861556449015232,0.5145135555617131,15.0,59.656366068732126,10.0,0.0,0.0,2.1,0.0,101.0,25.96407534537839,27.755480310012125,4.9,0.1,0.2,1.6,4.8,0.0,1.3,5.9,8.8,0.4,2.6,10.9,4.8,0.1,1.1,6.1,39400.0
141,1311.0,4605.0,2270.0,2330.0,725.0,590.0,1070.0,1495.0,725.0,60.0,10.0,30.0,1980.0,645.0,495.0,225.0,610.0,2.3,355.0,1716.0,31.6,23.4,0.8,0.9,8.1,23.2,1.0,1.2,14.6,75.1,3.0,4.0,7.3,19.2,0.5,2.3,17.1,77.2,28300.0
142,1312.0,7085.0,3500.0,3585.0,1145.0,960.0,1790.0,2360.0,830.0,60.0,10.0,30.0,2960.0,850.0,760.0,340.0,990.0,2.4,570.0,1745.0,31.4,24.5,1.1,1.1,16.5,24.9,0.7,3.0,37.1,72.3,2.5,4.1,6.3,14.3,0.5,4.2,42.7,78.7,27800.0
143,1313.0,4325.0,2170.0,2160.0,685.0,535.0,990.0,1530.0,585.0,70.0,10.0,20.0,1820.0,485.0,565.0,200.0,560.0,2.4,455.0,1207.0,30.3,20.5,2.1,0.0,20.4,24.7,0.4,2.0,49.1,63.6,2.2,3.0,6.0,12.0,0.9,1.0,59.2,76.2,43400.0
