pc4,INWONER_HH,P_MAN,P_VROUW,P_INW_014,P_INW_1524,P_INW_2544,P_INW_4564,P_INW_65PL,AV1_FOOD,AV3_FOOD,AV5_FOOD,OAD,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,GEM_HH_GR,UITKMINAOW_HH,P_LINK_HH,P_HINK_HH,log_median_inc
1781.0,1.862033195020747,0.5119777158774373,0.4880222841225626,0.13808463251670378,0.11302895322939865,0.2639198218262806,0.3090200445434298,0.1759465478841871,39.8,85.50000000000001,96.3,2321.0,80.0,10.0,10.0,1.8000000000000003,0.24585062240663896,53.5,8.3,10.568131027022936
1782.0,1.962264150943396,0.49567307692307705,0.5043269230769231,0.15185007208073042,0.10331571359923114,0.2508409418548775,0.2974531475252282,0.19654012493993275,24.500000000000004,86.90000000000002,96.0,2409.0,80.0,10.0,10.0,2.0,0.2273584905660377,46.9,10.5,10.491274217438248
1783.0,1.897163120567376,0.4654205607476635,0.5345794392523364,0.14606741573033707,0.10112359550561796,0.21910112359550565,0.2752808988764045,0.25842696629213485,8.0,50.2,95.9,1413.0,80.0,10.0,10.0,1.9,0.24822695035460998,59.5,9.8,10.635855446249355
1784.0,2.149532710280374,0.4967391304347826,0.5032608695652174,0.15760869565217392,0.11793478260869564,0.22336956521739132,0.27119565217391306,0.2298913043478261,5.6,47.8,99.0,1515.0,70.0,10.0,20.0,2.0,0.3002336448598131,54.6,10.7,10.694215061434935
1785.0,1.9753218884120167,0.4709397066811515,0.5290602933188484,0.11739130434782608,0.09347826086956523,0.1641304347826087,0.2831521739130435,0.3418478260869565,3.2,34.5,97.0,1390.0,80.0,10.0,10.0,2.0,0.16630901287553648,52.5,9.6,10.398183794372237
1786.0,2.4615384615384617,0.53125,0.46875,0.09375,0.125,0.15625,0.375,0.25000000000000006,0.3,5.1,57.60000000000001,162.0,90.0,10.0,0.3333333333333333,2.4,0.15384615384615385,30.686666666666657,25.899999999999995,10.647803019670473
1787.0,2.8235294117647056,0.5052192066805845,0.4947807933194154,0.12108559498956162,0.08559498956158662,0.20459290187891438,0.325678496868476,0.2630480167014614,6.099999999999999,19.9,27.9,637.0,90.0,10.0,0.0,2.2,0.5705882352941176,35.7,21.8,10.60658506394924
1788.0,2.3489736070381237,0.5008319467554077,0.4991680532445924,0.1605657237936772,0.11522462562396005,0.22836938435940107,0.3211314475873544,0.17470881863560736,2.1,22.000000000000004,26.3,1373.0,80.0,10.0,10.0,2.3,0.15542521994134895,24.1,21.400000000000002,10.576432025778553
1789.0,2.0727272727272728,0.4736842105263158,0.5263157894736842,0.13157894736842105,0.09649122807017543,0.15789473684210525,0.3157894736842105,0.2982456140350877,1.0,60.7,95.4,333.0,90.0,10.0,0.0,2.1,0.054545454545454536,25.6,28.0,10.566175525611364
1791.0,2.0848214285714284,0.4825124910778016,0.5174875089221984,0.13142857142857142,0.09857142857142856,0.19642857142857145,0.2985714285714286,0.275,16.0,26.7,36.2,866.0000000000001,90.0,10.0,0.0,2.0,0.16666666666666666,43.5,15.5,10.477287975463508
