,pc4,AANTAL_HH,P_MAN,P_VROUW,P_INW_014,P_INW_1524,P_INW_2544,P_INW_4564,AFS_TREINS,AFS_TRNOVS,AFS_OPRIT,P_INW_65PL,AV1_FOOD,AV3_FOOD,AV5_FOOD,OAD,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,GEM_HH_GR,P_UITKMINAOW,P_LINK_HH,P_HINK_HH,log_median_inc
3157,8309,815.0,51.710261569416495,48.2897384305835,26.61290322580645,14.31451612903226,26.008064516129032,23.18548387096774,24.7,31.3,1.0,9.879032258064516,0.6,0.9,1.5,165.0,90.0,10.0,0.0,3.0,3.420523138832998,29.4,25.6,10.207289006867793
3158,8311,555.0,55.16014234875445,44.83985765124555,18.149466192170816,11.743772241992882,28.113879003558722,29.537366548042705,21.6,30.6,0.9,12.455516014234876,0.6,2.0,6.7,93.0,90.0,10.0,0.0,2.5,4.98220640569395,33.4,22.5,10.628617778949124
3159,8312,675.0,53.13432835820896,46.86567164179105,19.940476190476193,12.797619047619047,24.70238095238096,28.869047619047617,21.1,27.7,0.8,13.690476190476192,5.0,6.9,8.9,115.0,90.0,10.0,0.0,2.5,6.567164179104477,33.7,20.2,10.678214720088496
3160,8313,650.0,52.09580838323353,47.904191616766475,18.562874251497004,12.874251497005988,19.760479041916167,31.437125748502993,17.6,26.4,1.0,17.365269461077844,0.6,1.5,2.7,102.0,90.0,10.0,0.0,2.5,5.688622754491018,31.2,23.6,10.568749529606537
3161,8314,545.0,51.23674911660777,48.76325088339223,19.081272084805654,11.66077738515901,25.08833922261484,29.681978798586574,16.6,30.4,1.4,14.487632508833926,0.2,1.0,1.7999999999999998,89.0,90.0,10.0,0.0,2.6,5.300353356890461,,,10.518673191626359
3162,8315,635.0,55.99022004889975,44.00977995110024,18.82640586797066,11.98044009779951,32.02933985330073,27.139364303178482,23.2,30.3,1.2,10.024449877750612,11.1,28.9,29.0,95.0,70.0,10.0,20.0,2.5,5.134474327628362,26.3,30.0,
3163,8316,1535.0,50.67750677506775,49.32249322493225,16.102841677943168,12.719891745602165,20.70365358592693,30.040595399188092,23.8,31.0,0.7,20.43301759133965,1.8,24.5,30.1,327.0,90.0,10.0,0.0,2.4,5.691056910569105,18.5,24.2,
3164,8317,590.0,50.0,50.0,15.277777777777779,11.805555555555555,22.916666666666664,31.25,20.3,20.5,0.6,18.75,3.7,6.9,8.0,85.0,90.0,10.0,0.0,2.4,5.594405594405593,39.4,15.5,
3165,8319,5.0,,,,,,,17.4,17.5,0.8,,0.5,1.4,7.1,7.0,,,,1.6,,27.2,25.4,10.499573020252942
3166,8321,4215.0,50.6342877854295,49.3657122145705,24.60144927536232,18.80434782608696,22.39130434782609,22.86231884057971,1.4,13.4,1.7,11.340579710144926,24.9,49.8,53.6,1101.0,100.0,0.0,0.0,3.2,4.021739130434781,58.3,7.9,
