pc4,AANTAL_HH,P_MAN,P_VROUW,P_INW_014,P_INW_1524,P_INW_2544,P_INW_4564,AFS_TREINS,AFS_TRNOVS,AFS_OPRIT,P_INW_65PL,AV1_FOOD,AV3_FOOD,AV5_FOOD,OAD,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,GEM_HH_GR,P_UITKMINAOW,P_LINK_HH,P_HINK_HH,log_median_inc
9067,75.0,0.4722222222222222,0.5277777777777778,0.1388888888888889,0.05555555555555555,0.16666666666666666,0.3611111111111111,16.3,16.3,0.5,0.2777777777777778,2.6,6.4,7.9,63.0,100.0,0.0,,2.4,0.028571428571428567,40.7,11.2,10.425253116340453
9071,110.0,0.54,0.46,0.12,0.18,0.18,0.34,14.2,14.2,0.8,0.18,1.7,4.6,7.1999999999999975,43.0,90.0,10.0,,2.2,0.08163265306122447,38.3,16.4,
9072,125.0,0.546875,0.453125,0.20634920634920634,0.1111111111111111,0.25396825396825395,0.2857142857142857,14.1,20.1,3.0,0.14285714285714285,0.3,2.9,7.6,64.0,90.0,0.0,,2.5,0.078125,41.9,14.5,10.351373376528244
9073,605.0,0.5,0.5,0.1888111888111888,0.1083916083916084,0.2272727272727273,0.2552447552447553,12.4,15.7,0.8,0.2202797202797203,5.4,6.9,15.4,179.0,90.0,0.0,0.0,2.4,0.06293706293706294,47.3,14.0,10.609057253094633
9074,1130.0,0.5233644859813084,0.4766355140186916,0.1891385767790262,0.10861423220973784,0.22846441947565546,0.29775280898876405,11.8,12.8,0.4,0.1760299625468165,0.2,4.4,11.0,306.0,90.0,0.0,0.0,2.4,0.07276119402985075,40.1,13.5,10.55581273857582
9075,120.0,0.54,0.46,0.14,0.12,0.16,0.38,15.2,15.4,3.5,0.2,0.7,1.2,4.6000000000000005,23.0,90.0,10.0,,2.1,0.12,37.5,14.5,10.54006438160768
9076,2035.0,0.4917864476386037,0.5082135523613963,0.16529774127310062,0.11396303901437373,0.1971252566735113,0.2792607802874743,13.7,17.9,0.9,0.24435318275154005,2.5,4.0,14.4,479.0,90.0,0.0,10.0,2.2,0.07905544147843943,43.6,14.0,
9077,310.0,0.5211267605633803,0.4788732394366197,0.17482517482517482,0.13286713286713284,0.22377622377622367,0.3356643356643357,4.4,4.4,2.0,0.13286713286713284,0.0,27.5,248.4,78.0,90.0,10.0,0.0,2.3,0.09090909090909093,38.3,15.4,
9078,435.0,0.5257731958762887,0.4742268041237113,0.15384615384615385,0.11794871794871795,0.18461538461538465,0.3641025641025641,7.5,7.5,3.9,0.1794871794871795,0.0,0.7,19.7,82.0,90.0,0.0,0.0,2.2,0.07216494845360824,,,10.491274217438248
9079,775.0,0.5145348837209303,0.4854651162790698,0.15942028985507245,0.11594202898550725,0.2028985507246377,0.33043478260869563,4.2,4.2,1.8,0.19130434782608696,0.0,43.4,253.6,158.0,90.0,10.0,0.0,2.2,0.09593023255813954,27.5,19.6,
9081,180.0,0.4938271604938271,0.5061728395061729,0.15,0.1,0.175,0.375,3.7,3.7,2.8,0.2,0.6,15.0,246.6,354.0,90.0,10.0,0.0,2.2,0.08641975308641975,16.3,31.2,
9082,10.0,0.5,0.5,,,,,4.3,4.3,2.5,,1.0,5.0,244.0,20.0,100.0,,,2.7,,,,10.431170293368544
9083,105.0,0.5,0.5,0.125,0.1,0.15,0.35,5.0,5.0,3.2,0.275,0.3,1.3,104.5,1374.0,90.0,10.0,,2.0,0.07317073170731707,,,10.3797217315325
9084,1240.0,0.4921135646687697,0.5078864353312302,0.1971608832807571,0.10410094637223977,0.2113564668769716,0.2886435331230284,6.8,6.8,1.7,0.1987381703470032,0.0,3.7,7.2,826.0,90.0,10.0,0.0,2.5,0.03785488958990536,,,10.454494965934948
9085,10.0,0.5,0.5,,,,,7.3,7.7,1.1,,0.0,0.1,9.9,802.0,100.0,,,2.1,,35.8,19.5,10.370361288772935
