Unnamed: 0,pc4,AANTAL_HH,P_MAN,P_VROUW,P_INW_014,P_INW_1524,P_INW_2544,P_INW_4564,AFS_TREINS,AFS_TRNOVS,AFS_OPRIT,P_INW_65PL,AV1_FOOD,AV3_FOOD,AV5_FOOD,OAD,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,GEM_HH_GR,P_UITKMINAOW,P_LINK_HH,P_HINK_HH,log_median_inc
7634.0,7634.0,270.0,53.02013422818792,46.97986577181208,14.093959731543624,14.765100671140942,18.79194630872484,32.88590604026846,15.000000000000002,18.7,2.0,19.463087248322147,1.4,18.4,30.899999999999995,59.0,100.0,0.0,0.0,2.7,4.697986577181208,30.125000000000004,23.595,10.573877745973457
7635.0,7635.0,345.0,53.807106598984774,46.19289340101521,12.626262626262623,18.686868686868692,18.181818181818183,32.82828282828283,1.3,5.7,1.0,17.676767676767675,4.9,21.200000000000006,33.4,49.0,90.0,10.0,0.5,2.8,5.05050505050505,28.4,25.4,10.661954199216716
7636.0,7636.0,190.0,51.75438596491229,48.24561403508772,14.912280701754383,14.912280701754383,17.543859649122805,28.947368421052637,1.6,5.6,0.8,23.684210526315788,10.5,19.8,37.3,79.0,100.0,0.0,0.0,2.9,3.5087719298245608,32.4,22.3,10.589106466675283
7637.0,7637.0,115.0,52.941176470588246,47.058823529411754,20.895522388059682,13.432835820895527,16.417910447761194,28.35820895522388,3.4,10.1,1.0,20.895522388059682,0.2,2.3,16.3,157.0,100.0,0.0,0.0,3.0,2.9411764705882364,25.1,38.3,10.647803019670473
7638.0,7638.0,55.0,47.22222222222222,52.77777777777778,13.513513513513516,21.621621621621625,18.918918918918923,35.135135135135144,12.2,12.2,1.0,10.810810810810812,4.6,10.2,23.7,14.0,90.0,10.0,1.0,3.2,2.7777777777777777,35.6,23.8,10.604106747934773
7641.0,7641.0,3305.0,49.88123515439429,50.11876484560571,17.458432304038006,12.589073634204276,19.774346793349167,29.691211401425186,16.5,16.6,4.6,20.486935866983366,2.9999999999999996,9.7,18.8,898.0,90.0,10.0,0.0,2.5,5.878859857482184,29.2,28.1,10.50232405362483
7642.0,7641.999999999999,2890.0,48.95908111988514,51.04091888011486,17.74425287356322,10.201149425287355,24.353448275862068,24.64080459770115,17.9,20.2,5.0,23.060344827586214,0.0,3.9000000000000004,15.9,850.0,90.0,10.0,0.0,2.4,5.316091954022988,30.02,25.2,10.633448706218788
7645.0,7645.0,360.0,50.23696682464455,49.76303317535545,17.535545023696685,14.218009478672986,21.800947867298575,29.85781990521327,16.8,16.9,4.9,16.587677725118485,0.9,7.0,16.0,52.0,90.0,10.0,0.0,2.9,4.739336492890995,20.2,37.1,10.768484990022733
7651.0,7651.0,2320.0,49.09090909090909,50.90909090909091,15.857885615251302,12.305025996533796,21.403812824956677,27.729636048526864,15.200000000000001,16.200000000000003,2.7,22.703639514731368,0.5,2.1,13.8,556.0,90.0,0.0,0.0,2.4,6.58008658008658,27.3,27.8,10.480100916840122
7661.0,7661.0,365.0,52.82051282051282,47.17948717948718,18.87755102040816,13.77551020408163,20.40816326530613,29.081632653061227,8.299999999999999,8.5,0.6,17.857142857142858,1.9,4.699999999999998,14.400000000000002,102.0,100.0,0.0,0.0,2.7,5.128205128205128,25.8,31.6,10.645424897265503
7662.0,7662.0,80.0,51.16279069767442,48.83720930232558,14.285714285714285,14.285714285714285,16.666666666666664,35.714285714285715,11.7,11.9,0.4,19.047619047619047,0.8,4.0,19.9,13.0,90.0,10.0,0.0,2.7,2.325581395348837,22.0,38.5,10.576432025778553
7663.0,7663.0,130.0,52.564102564102576,47.43589743589744,19.230769230769234,15.384615384615387,21.794871794871803,32.051282051282044,12.7,14.8,0.8,11.53846153846154,0.8,4.5,20.4,39.0,100.0,0.0,0.0,3.0,5.128205128205128,28.1,28.8,10.59162219127253
7664.0,7664.0,230.0,51.21951219512196,48.78048780487804,14.634146341463413,12.19512195121951,21.138211382113823,32.52032520325203,14.9,15.6,1.5,19.51219512195122,0.0,3.6,28.800000000000004,34.0,100.0,0.0,0.0,2.6,4.878048780487805,30.89,23.82,10.584055950889214
7665.0,7665.0,1350.0,51.46036161335188,48.53963838664812,15.855354659248956,15.438108484005568,19.749652294853963,31.01529902642559,2.3,8.1,1.4,17.941585535465926,3.8,13.8,19.0,230.99999999999997,100.0,0.0,0.0,2.7,4.589707927677329,36.1,19.6,10.742897240074328
7666.0,7666.0,305.0,51.955307262569825,48.04469273743018,15.730337078651687,19.662921348314608,16.853932584269664,32.58426966292135,2.1,8.4,1.2,15.168539325842698,3.3,15.1,19.3,58.0,100.0,0.0,0.0,2.9,4.46927374301676,20.9,23.9,10.558413520275877
7667.0,7667.0,465.0,52.459016393442624,47.540983606557376,17.62295081967213,13.52459016393443,19.262295081967206,30.73770491803279,10.5,15.5,1.0,18.852459016393446,0.1,3.5,5.9,76.0,100.0,0.0,0.0,2.6,4.918032786885247,27.8,25.87,10.745054738214343
7668.0,7668.0,55.0,60.60606060606061,39.39393939393939,18.181818181818183,21.21212121212121,18.181818181818183,24.24242424242425,4.3,13.7,1.1,18.181818181818183,3.5,7.7,22.9,23.0,100.0,2.0,1.5,2.6,9.375,45.5,13.0,10.513253124157023
7671.0,7671.0,4470.0,50.28621752531925,49.713782474680755,17.701453104359313,13.033905768383974,21.31219726992515,28.049317481285783,10.2,11.2,0.8999999999999999,19.9031263760458,3.8,7.2,17.0,667.0,90.0,0.0,0.0,2.5,7.265521796565389,29.5,29.8,10.491386053525854
7672.0,7672.0,850.0,50.1953125,49.8046875,23.828125,14.0625,26.7578125,25.1953125,11.8,15.9,0.6,10.15625,1.9,4.1,7.9,795.0,90.0,0.0,0.0,2.9,4.6875,29.2,27.9,10.563594879017872
7675.0,7674.999999999999,50.0,48.148148148148145,51.851851851851855,14.814814814814813,11.111111111111109,22.222222222222218,37.03703703703704,1.2,14.5,1.2,14.814814814814813,5.8000000000000025,13.7,21.6,54.0,90.0,0.0,1.5,2.6,5.793497445644377,41.1,12.5,10.74073507706983
7676.0,7676.0,1780.0000000000002,51.279199110122356,48.72080088987765,18.485523385300667,11.358574610244984,23.16258351893096,29.73273942093541,5.3,18.7,1.1,17.260579064587972,4.6,8.5,12.5,362.0,90.0,0.0,0.0,2.5,11.692650334075726,28.6,22.6,10.447315916843845
7678.0,7678.0,1630.0,51.63170163170163,48.36829836829837,16.647264260768335,14.551804423748546,20.954598370197907,29.802095459837023,2.4,18.3,1.3,18.0442374854482,1.4999999999999998,6.2,19.3,241.00000000000003,100.0,0.0,0.0,2.6,4.195804195804196,24.9,25.4,10.468801361586188
7679.0,7679.0,474.99999999999994,51.37254901960784,48.62745098039216,16.929133858267715,14.960629921259848,18.89763779527559,31.88976377952756,0.7,15.9,2.2,17.322834645669293,0.8,12.8,22.7,77.0,100.0,0.0,0.0,2.7,5.490196078431373,16.5,32.0,10.657259354912508
7681.0,7681.0,3539.9999999999995,51.14547537227949,48.8545246277205,18.259874069834,12.249570692615912,22.66742987979393,27.761877504293075,0.6,11.8,0.4,19.061247853463076,0.9,10.5,24.8,745.0,90.0,0.0,0.0,2.5,9.44476244991414,29.9,16.7,10.694215061434935
7683.0,7683.0,2225.0,50.97872340425533,49.02127659574467,17.37649063032368,12.265758091993188,20.357751277683136,28.875638841567287,3.6,14.0,0.7,21.12436115843271,1.1,2.8,12.5,355.0,100.0,0.0,0.0,2.6,5.446808510638298,24.4,27.9,10.278493453159584
