,pc4,INWONER,P_MAN,P_VROUW,P_INW_014,P_INW_1524,P_INW_2544,P_INW_4564,P_INW_65PL,AV1_FOOD,AV3_FOOD,AV5_FOOD,OAD,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,GEM_HH_GR,UITKMINAOW,P_LINK_HH,P_HINK_HH,log_median_inc
2156,6005,4470.0,0.5156599552572707,0.4843400447427293,0.1487695749440716,0.12192393736017897,0.21252796420581654,0.3366890380313199,0.18008948545861297,3.8,26.2,34.3,742.0,80.0,10.0,10.0,2.3,345.0,30.3,21.4,10.480100916840122
2157,6006,11585.0,0.5058264997842037,0.4941735002157963,0.14514038876889848,0.11231101511879049,0.22850971922246222,0.28034557235421165,0.23369330453563714,4.8999999999999995,11.2,27.800000000000004,1452.0,70.0,10.0,20.0,2.1,1045.0,35.7,18.2,10.460242108190519
2158,6011,1385.0,0.49458483754512633,0.5054151624548736,0.1299638989169675,0.1552346570397112,0.17689530685920576,0.36462093862815886,0.17328519855595667,12.1,22.1,43.8,139.0,90.0,10.0,0.0,2.5,80.0,37.8,19.7,10.448714603019452
2159,6012,490.0,0.5408163265306123,0.45918367346938777,0.10309278350515463,0.14432989690721648,0.16494845360824742,0.4020618556701031,0.18556701030927836,6.499999999999999,17.2,63.900000000000006,41.0,90.0,10.0,,2.5,20.0,30.3,19.4,10.545341438708522
2160,6013,945.0,0.5157894736842106,0.4842105263157895,0.13756613756613756,0.1164021164021164,0.1693121693121693,0.3439153439153439,0.2328042328042328,12.5,25.700000000000003,35.6,118.0,90.0,10.0,0.0,2.3,40.0,35.7,20.6,10.529425983402623
2161,6014,1700.0,0.5132743362831859,0.48672566371681414,0.12058823529411765,0.11470588235294117,0.19117647058823528,0.3411764705882353,0.2323529411764706,3.9,15.399999999999999,29.0,254.0,80.0,10.0,0.0,2.3,105.0,40.9,14.5,10.439980923050696
2162,6015,1280.0,0.5,0.5,0.12890625,0.1171875,0.203125,0.328125,0.22265625,1.1,4.8,23.0,199.0,80.0,10.0,0.0,2.2,95.0,29.7,15.0,10.571316925111784
2163,6017,2420.0,0.4896694214876033,0.5103305785123967,0.11363636363636363,0.09710743801652892,0.18181818181818182,0.3140495867768595,0.29338842975206614,7.5,12.8,20.7,382.0,90.0,10.0,0.0,2.1,180.0,27.6,27.3,10.502324053624832
2164,6019,2055.0,0.5085158150851582,0.49148418491484186,0.11678832116788321,0.10948905109489052,0.18004866180048662,0.3333333333333333,0.26034063260340634,4.5,12.2,43.099999999999994,317.0,90.0,10.0,0.0,2.2,135.0,25.0,30.1,10.510532034042662
2165,6021,9160.0,0.49672489082969434,0.5032751091703057,0.14410480349344978,0.11135371179039301,0.20906113537117904,0.2942139737991266,0.24126637554585154,2.0,27.4,33.199999999999996,810.0,80.0,10.0,0.0,2.2,590.0,21.4,28.2,10.48849257447637
2166,6023,2100.0,0.503562945368171,0.49643705463182897,0.1380952380952381,0.10952380952380952,0.20238095238095238,0.30714285714285716,0.24285714285714285,1.7999999999999998,3.1,24.4,370.0,80.0,20.0,10.0,2.2,190.0,27.8,28.8,10.54006438160768
2167,6024,1440.0,0.5347222222222222,0.4652777777777778,0.13240418118466898,0.0975609756097561,0.1916376306620209,0.34494773519163763,0.23344947735191637,9.9,24.5,43.0,182.0,80.0,20.0,0.0,2.3,115.0,37.3,21.3,10.54006438160768
