pc4,INWONER,P_MAN,P_VROUW,P_INW_014,P_INW_1524,P_INW_2544,P_INW_4564,P_INW_65PL,AV1_FOOD,AV3_FOOD,AV5_FOOD,OAD,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,GEM_HH_GR,UITKMINAOW,P_LINK_HH,P_HINK_HH,log_median_inc
1658.0,180.0,0.5277777777777778,0.4722222222222222,0.08571428571428572,0.11428571428571427,0.17142857142857149,0.4,0.22857142857142854,0.9,2.7,4.1,32.0,90.0,10.0,0.0,2.4,10.0,30.86,25.06666666666667,10.537415373436104
1661.0,440.0,0.5172413793103449,0.4827586206896552,0.10344827586206898,0.1724137931034483,0.19540229885057475,0.3793103448275862,0.14942528735632185,1.9,2.3,9.7,60.0,90.0,10.0,0.6666666666666666,2.6,20.0,24.5,36.1,10.573877745973457
1662.0,325.0,0.5230769230769231,0.476923076923077,0.13846153846153844,0.18461538461538465,0.15384615384615385,0.3384615384615385,0.18461538461538465,0.30000000000000004,3.0,8.7,75.0,90.0,10.0,0.3333333333333333,2.5,15.0,40.2,20.5,10.609057253094631
1663.0,110.0,0.5,0.5,0.18181818181818185,0.18181818181818185,0.2272727272727273,0.3181818181818182,0.09090909090909091,0.0,3.1,8.0,70.0,100.0,0.3333333333333333,0.3333333333333333,2.5,51.83333333333335,34.419999999999995,22.52666666666667,10.521372248595526
1671.0,8590.0,0.4967967384973792,0.5032032615026208,0.17112922002328287,0.11292200232828872,0.23632130384167643,0.2724097788125728,0.20721769499417927,14.0,33.8,41.90000000000001,993.0,80.0,10.0,10.0,2.2,725.0,42.3,15.9,10.753638481905739
1674.0,1954.9999999999998,0.4948717948717949,0.5051282051282051,0.17223650385604114,0.13110539845758354,0.2133676092544987,0.2930591259640103,0.19023136246786632,0.9,6.8,41.5,269.0,90.0,10.0,10.0,2.4,155.0,36.0,20.5,10.562011391847111
1676.0,1090.0,0.5022831050228309,0.4977168949771689,0.1415525114155251,0.1187214611872146,0.1735159817351598,0.3424657534246575,0.2237442922374429,1.1,2.4,16.5,109.00000000000001,90.0,10.0,0.0,2.2,65.0,30.5,24.499999999999996,10.550984213343982
1678.0,870.0,0.5257142857142857,0.4742857142857143,0.10857142857142857,0.14285714285714285,0.16,0.35428571428571426,0.2342857142857143,0.5,5.700000000000001,16.0,147.0,90.0,10.0,0.0,2.4,60.0,26.5,27.9,10.640651618512848
1679.0,2325.0,0.5064655172413793,0.4935344827586207,0.16163793103448276,0.11206896551724138,0.2155172413793104,0.3038793103448276,0.20689655172413796,3.6,5.500000000000001,13.0,301.0,90.0,10.0,0.0,2.2,180.0,36.4,22.5,10.721062311471128
1681.0,270.0,0.5185185185185185,0.4814814814814815,0.1481481481481481,0.12962962962962962,0.2222222222222222,0.3333333333333333,0.16666666666666666,0.8,6.3,21.700000000000006,131.0,80.0,20.0,1.3333333333333333,2.4,15.0,24.0,36.5,10.54822940683591
