pc4,INWONER,MAN,VROUW,INW_014,INW_1524,INW_2544,INW_4564,INW_65PL,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,AANTAL_HH,TOTHH_EENP,TOTHH_MPZK,HH_EENOUD,HH_TWEEOUD,GEM_HH_GR,UITKMINAOW,OAD,P_LINK_HH,P_HINK_HH,AFS_CAFE,AV1_CAFE,AV3_CAFE,AV5_CAFE,AFS_CAFTAR,AV1_CAFTAR,AV3_CAFTAR,AV5_CAFTAR,AFS_HOTEL,AV5_HOTEL,AV10_HOTEL,AV20_HOTEL,AFS_RESTAU,AV1_RESTAU,AV3_RESTAU,AV5_RESTAU,median_inc
5927.0,800.0,410.0,390.0,120.0,80.0,160.0,225.0,215.0,90.0,10.0,0.0,320.0,65.0,135.0,5.0,115.0,2.5,35.0,439.0,31.6,20.5,0.8,1.4,4.4,16.7,0.8,1.5,6.9,28.1,0.9,4.1,19.5,32.3,0.8,1.6,6.1,19.6,40700.0
5928.0,805.0,435.0,365.0,105.0,125.0,180.0,255.0,140.0,80.0,10.0,10.0,375.0,150.0,105.0,20.0,100.0,2.1,55.0,619.0,35.7,21.6,0.6,1.6,4.6,11.1,0.5,1.8,3.9,17.0,3.3,5.2,16.4,31.1,3.2,0.0,0.8,12.5,41100.0
5931.0,9705.0,4870.0,4840.0,1345.0,970.0,2100.0,2850.0,2440.0,80.0,10.0,10.0,4565.0,1720.0,1465.0,275.0,1095.0,2.1,775.0,1389.0,34.8,19.0,0.7,1.9,5.2,9.6,0.6,4.5,7.4,14.4,0.7,6.9,10.2,31.9,0.7,5.1,8.4,10.7,37900.0
5932.0,5535.0,2785.0,2750.0,840.0,620.0,1280.0,1760.0,1035.0,60.0,20.0,20.0,2490.0,785.0,800.0,250.0,640.0,2.2,675.0,969.0,37.7,16.8,0.7,1.3,4.0,22.5,0.6,1.5,3.2,24.9,0.8,3.8,14.6,32.7,0.9,0.6,2.5,18.5,28200.0
5935.0,3745.0,1850.0,1895.0,465.0,435.0,740.0,1265.0,840.0,70.0,20.0,10.0,1670.0,600.0,515.0,125.0,425.0,2.2,385.0,954.0,39.8,15.0,0.6,2.7,6.6,13.4,0.6,4.7,11.7,18.0,3.0,2.8,8.0,35.8,0.8,2.9,8.0,14.6,40800.0
5941.0,5245.0,2645.0,2600.0,790.0,540.0,1140.0,1605.0,1175.0,90.0,10.0,0.0,2255.0,635.0,820.0,125.0,670.0,2.3,340.0,478.0,30.2,26.3,1.1,0.5,3.9,15.3,0.6,1.7,5.0,20.1,3.6,1.0,7.3,38.7,0.7,2.5,5.9,15.2,49100.0
5943.0,1015.0,515.0,500.0,135.0,140.0,190.0,300.0,245.0,80.0,10.0,0.0,420.0,115.0,155.0,20.0,130.0,2.4,55.0,125.0,37.9,19.1,0.5,5.4,16.0,20.4,0.6,6.3,17.9,21.6,1.3,2.8,6.2,36.8,0.8,4.0,12.7,15.1,33800.0
5944.0,2575.0,1290.0,1280.0,305.0,285.0,420.0,885.0,680.0,80.0,20.0,0.0,1175.0,350.0,470.0,65.0,285.0,2.2,170.0,218.0,31.3,25.6,0.7,2.0,9.5,19.0,0.7,1.4,8.9,22.0,3.2,3.2,11.4,35.8,2.7,0.0,5.0,13.4,39500.0
5951.0,5540.0,2760.0,2780.0,870.0,580.0,1145.0,1685.0,1260.0,80.0,10.0,10.0,2360.0,620.0,845.0,150.0,735.0,2.3,475.0,554.0,26.3,26.9,0.6,0.8,11.9,24.2,1.2,0.3,15.1,27.4,3.0,2.0,5.1,41.0,1.9,0.0,10.2,18.6,33000.0
5953.0,11045.0,5545.0,5500.0,1610.0,1225.0,2360.0,3335.0,2515.0,80.0,10.0,10.0,4830.0,1425.0,1670.0,310.0,1410.0,2.3,875.0,838.0,33.2,29.0,0.8,0.6,10.7,21.0,0.8,0.6,12.4,20.2,1.9,1.9,7.1,38.5,0.6,0.9,10.0,15.7,44100.0
5954.0,2475.0,1265.0,1210.0,315.0,295.0,420.0,840.0,600.0,90.0,10.0,0.0,1065.0,280.0,405.0,55.0,320.0,2.3,120.0,253.0,33.5,23.9,0.9,2.1,2.8,6.1,1.0,0.7,0.9,2.9,5.6,0.1,3.8,37.1,1.0,0.7,1.0,3.4,43300.0
5961.0,13015.0,6465.0,6545.0,1775.0,1545.0,2875.0,3925.0,2890.0,90.0,10.0,0.0,5770.0,1935.0,1870.0,375.0,1575.0,2.2,975.0,1094.0,30.1,21.7,0.9,1.4,3.8,5.6,0.6,4.1,6.8,10.1,2.3,2.5,19.7,37.4,0.8,2.4,4.8,7.8,41300.0
5962.0,2140.0,1075.0,1065.0,345.0,290.0,450.0,725.0,335.0,90.0,10.0,0.0,835.0,210.0,270.0,25.0,325.0,2.6,110.0,174.0,28.1,23.1,0.8,1.4,4.0,9.9,0.9,1.4,3.7,14.2,3.5,4.4,15.1,35.2,3.5,0.0,0.2,9.7,39400.0
5963.0,1940.0,985.0,955.0,305.0,245.0,440.0,610.0,345.0,90.0,10.0,0.0,765.0,170.0,275.0,30.0,280.0,2.5,100.0,244.0,32.0,22.4,0.9,3.0,4.3,7.3,0.7,4.2,6.8,11.5,5.3,0.2,5.4,38.8,0.8,3.0,4.1,7.5,38400.0
5964.0,1625.0,850.0,775.0,225.0,235.0,355.0,570.0,245.0,90.0,10.0,0.0,635.0,150.0,215.0,30.0,240.0,2.6,80.0,184.0,23.1,29.3,0.5,0.9,3.6,8.4,1.8,0.0,4.2,8.2,6.6,0.0,4.0,40.7,1.3,0.2,3.4,6.9,36100.0
5966.0,2030.0,1045.0,980.0,285.0,245.0,465.0,680.0,350.0,90.0,10.0,0.0,845.0,235.0,295.0,45.0,270.0,2.4,140.0,212.0,32.74666666666666,24.87333333333333,3.6,0.0,0.1,2.5,3.3,0.0,0.2,2.8,5.0,0.6,1.7,34.1,3.2,0.1,0.5,4.0,39100.0
5971.0,4735.0,2355.0,2375.0,660.0,505.0,975.0,1380.0,1210.0,80.0,10.0,0.0,2045.0,605.0,740.0,110.0,580.0,2.3,275.0,595.0,39.9,16.6,0.6,2.7,10.2,13.9,0.7,4.9,12.1,13.9,1.9,1.0,5.8,35.8,0.7,7.6,14.7,19.2,36400.0
5973.0,1940.0,1000.0,940.0,265.0,210.0,395.0,630.0,445.0,90.0,10.0,0.0,830.0,215.0,330.0,35.0,250.0,2.3,80.0,177.0,31.4,26.7,0.7,0.8,1.1,12.3,0.7,0.8,2.0,14.8,3.2,1.5,4.3,32.4,2.9,0.0,0.8,19.0,33300.0
5975.0,6685.0,3380.0,3310.0,1060.0,760.0,1420.0,1920.0,1525.0,90.0,10.0,0.0,2800.0,820.0,955.0,145.0,870.0,2.4,335.0,523.0,27.7,25.0,0.8,1.4,3.4,7.2,0.9,0.7,1.3,5.0,4.6,0.8,3.0,30.5,0.8,0.7,2.6,9.8,38000.0
5976.0,1130.0,580.0,550.0,150.0,160.0,210.0,430.0,180.0,90.0,10.0,0.0,450.0,115.0,150.0,15.0,165.0,2.5,45.0,126.0,27.1,26.0,0.6,1.6,6.9,16.0,0.7,0.8,5.4,15.8,4.3,1.5,3.8,31.9,0.6,1.7,11.6,20.4,42400.0
5977.0,280.0,150.0,130.0,25.0,45.0,85.0,105.0,20.0,90.0,10.0,0.0,80.0,15.0,25.0,5.833333333333333,35.0,2.7,15.0,14.0,18.1,28.1,0.7,0.9,9.2,12.0,1.8,0.0,10.5,12.9,2.6,1.0,5.9,35.1,0.7,0.9,12.7,18.4,44900.0
5981.0,7485.0,3755.0,3730.0,915.0,760.0,1555.0,2195.0,2065.0,80.0,10.0,10.0,3320.0,1090.0,1220.0,175.0,825.0,2.2,625.0,960.0,29.2,23.2,0.8,3.0,8.9,12.8,0.7,3.1,11.6,14.2,0.8,1.0,6.0,37.7,0.9,1.7,14.1,17.5,44300.0
5984.0,1230.0,655.0,570.0,140.0,165.0,260.0,415.0,245.0,90.0,0.0,0.0,435.0,110.0,160.0,15.0,150.0,2.5,170.0,117.0,30.9,23.3,1.0,0.5,1.9,17.6,0.8,2.4,4.9,17.6,1.2,3.0,16.1,35.0,0.7,2.5,6.8,19.6,43100.0
5985.0,1650.0,860.0,790.0,240.0,215.0,350.0,550.0,295.0,90.0,10.0,0.0,640.0,125.0,240.0,30.0,245.0,2.6,100.0,116.0,29.7,22.9,0.8,2.6,3.9,5.1,0.8,1.4,2.0,4.3,5.4,0.2,8.8,29.8,0.8,2.9,5.2,7.3,36600.0
5986.0,2120.0,1070.0,1050.0,340.0,270.0,435.0,715.0,365.0,90.0,0.0,0.0,825.0,180.0,310.0,20.0,320.0,2.6,110.0,197.0,35.4,23.2,0.7,2.6,5.1,13.3,1.0,2.4,4.4,16.4,1.3,1.9,8.6,37.1,0.9,1.7,4.3,14.4,43700.0
5987.0,1270.0,645.0,625.0,230.0,125.0,335.0,375.0,205.0,90.0,0.0,0.0,480.0,85.0,165.0,20.0,205.0,2.6,60.0,285.0,52.9,11.6,0.2,22.3,37.6,41.8,0.2,26.8,46.6,50.2,0.5,4.1,7.7,21.1,0.3,28.0,39.4,44.2,41100.0
5988.0,6225.0,3125.0,3100.0,900.0,760.0,1410.0,1915.0,1235.0,90.0,10.0,0.0,2580.0,670.0,900.0,145.0,855.0,2.4,360.0,788.0,29.0,22.0,0.6,1.9,26.8,39.7,0.6,2.7,30.4,47.5,2.2,4.0,8.0,18.6,0.6,1.2,30.0,42.2,41100.0
5991.0,6510.0,3295.0,3215.0,940.0,725.0,1440.0,1960.0,1440.0,90.0,10.0,0.0,2745.0,755.0,955.0,130.0,900.0,2.4,390.0,576.0,22.3,34.7,0.9,2.4,28.3,44.5,1.1,2.3,34.0,54.0,1.2,4.8,7.7,20.4,1.1,1.9,31.0,47.5,36900.0
5993.0,6520.0,3335.0,3185.0,1055.0,695.0,1425.0,1935.0,1410.0,90.0,10.0,0.0,2670.0,700.0,930.0,125.0,910.0,2.4,340.0,502.0,40.1,13.7,0.7,3.8,31.8,40.9,0.5,4.6,39.4,49.8,2.1,3.8,7.0,23.1,1.2,2.7,35.7,43.3,29700.0
5995.0,4210.0,2140.0,2070.0,615.0,485.0,870.0,1360.0,880.0,90.0,10.0,0.0,1805.0,520.0,615.0,115.0,550.0,2.3,285.0,311.0,33.5,23.1,0.8,0.7,22.6,30.5,1.7,0.2,25.9,33.2,3.4,2.2,6.4,21.9,1.6,0.2,22.4,29.3,31000.0
6001.0,7420.0,3565.0,3850.0,650.0,670.0,1640.0,1920.0,2535.0,80.0,10.0,10.0,4040.0,2060.0,1200.0,230.0,525.0,1.8,730.0,2215.0,42.3,17.3,0.6,3.0,31.8,41.2,0.8,5.3,37.6,45.0,1.4,3.9,6.5,18.8,1.0,3.2,33.0,39.6,28400.0
6002.0,6705.0,3405.0,3305.0,1110.0,790.0,1550.0,2200.0,1055.0,80.0,10.0,10.0,2785.0,750.0,905.0,190.0,935.0,2.4,530.0,803.0,26.6,27.5,0.7,0.8,2.2,6.2,0.7,1.7,2.4,4.3,7.3,0.0,7.6,27.1,0.9,0.7,1.8,4.8,24500.0
